18.000,-0.000,-4.100,-4.600
18.050,-0.322,-4.097,-4.610
18.100,-0.645,-4.069,-4.620
18.150,-0.964,-4.016,-4.630
18.200,-1.279,-3.937,-4.640
18.250,-1.588,-3.834,-4.650
18.300,-1.889,-3.707,-4.660
18.350,-2.179,-3.556,-4.670
18.400,-2.457,-3.382,-4.680
18.450,-2.721,-3.186,-4.690
18.500,-2.970,-2.970,-4.700
18.550,-3.201,-2.734,-4.710
18.600,-3.414,-2.480,-4.720
18.650,-3.607,-2.210,-4.730
18.700,-3.778,-1.925,-4.740
18.750,-3.926,-1.626,-4.750
18.800,-4.052,-1.316,-4.760
18.850,-4.152,-0.997,-4.770
18.900,-4.227,-0.670,-4.780
18.950,-4.277,-0.337,-4.790
19.000,-4.300,0.000,-4.800
19.050,-4.297,0.338,-4.810
19.100,-4.267,0.676,-4.820
19.150,-4.210,1.011,-4.830
19.200,-4.128,1.341,-4.840
19.250,-4.019,1.665,-4.850
19.300,-3.885,1.979,-4.860
19.350,-3.726,2.283,-4.870
19.400,-3.543,2.574,-4.880
19.450,-3.338,2.851,-4.890
19.500,-3.111,3.111,-4.900
19.550,-2.864,3.353,-4.910
19.600,-2.598,3.576,-4.920
19.650,-2.315,3.777,-4.930
19.700,-2.016,3.956,-4.940
19.750,-1.703,4.111,-4.950
19.800,-1.378,4.242,-4.960
19.850,-1.044,4.346,-4.970
19.900,-0.701,4.425,-4.980
19.950,-0.352,4.476,-4.990
20.000,0.000,4.500,-5.000
20.050,0.354,4.496,-5.010
20.100,0.707,4.464,-5.020
20.150,1.058,4.405,-5.030
20.200,1.403,4.318,-5.040
20.250,1.741,4.204,-5.050
20.300,2.070,4.063,-5.060
20.350,2.388,3.897,-5.070
20.400,2.692,3.705,-5.080
20.450,2.981,3.490,-5.090
20.500,3.253,3.253,-5.100
20.550,3.505,2.994,-5.110
20.600,3.738,2.716,-5.120
20.650,3.948,2.419,-5.130
20.700,4.134,2.107,-5.140
20.750,4.296,1.779,-5.150
20.800,4.432,1.440,-5.160
20.850,4.541,1.090,-5.170
20.900,4.622,0.732,-5.180
20.950,4.676,0.368,-5.190
21.000,4.700,-0.000,-5.200
21.050,4.695,-0.370,-5.210
21.100,4.662,-0.738,-5.220
21.150,4.599,-1.104,-5.230
21.200,4.508,-1.465,-5.240
21.250,4.388,-1.818,-5.250
21.300,4.241,-2.161,-5.260
21.350,4.067,-2.492,-5.270
21.400,3.867,-2.810,-5.280
21.450,3.642,-3.111,-5.290
21.500,3.394,-3.394,-5.300
21.550,3.124,-3.658,-5.310
21.600,2.833,-3.899,-5.320
21.650,2.524,-4.118,-5.330
21.700,2.197,-4.312,-5.340
21.750,1.856,-4.481,-5.350
21.800,1.502,-4.622,-5.360
21.850,1.137,-4.735,-5.370
21.900,0.763,-4.820,-5.380
